TAGID,TAGNAME,MOVIESWITHTAG,AVGTAGRELEVANCE,AVGRATINGFORTAGGEDMOVIES,UNIQUEUSERSRATINGTAGGEDMOVIES,TOTALRATINGSFORTAGGEDMOVIES,RATINGVARIANCEFORTAGGEDMOVIES,RATINGLIFTVSAVERAGE,TAGEFFECTIVENESSLEVEL
985,suicide,10381,0.084,3.81,135238,2479181,0.94,8.07,Highly Effective
1021,terminal illness,10381,0.043,3.81,119184,732375,0.98,8.07,Highly Effective
540,independent film,10381,0.181,3.81,138218,7183413,0.95,8.07,Highly Effective
1096,war,10381,0.084,3.8,137738,3647202,0.97,7.79,Highly Effective
191,censorship,10381,0.148,3.8,138423,7196016,0.96,7.79,Highly Effective
535,imagination,10381,0.143,3.8,138470,7931770,0.97,7.79,Highly Effective
217,classical music,10381,0.029,3.8,93327,472023,0.98,7.79,Highly Effective
78,artist,10381,0.101,3.8,123352,2121119,0.96,7.79,Highly Effective
236,coming-of-age,10381,0.119,3.8,137797,4681320,0.95,7.79,Highly Effective
1119,world politics,10381,0.092,3.8,136522,2689276,0.92,7.79,Highly Effective
250,confusing,10381,0.078,3.8,136339,4198289,0.97,7.79,Highly Effective
909,sexuality,10381,0.081,3.8,135190,2641097,0.99,7.79,Highly Effective
93,awesome,10381,0.077,3.8,138459,8361226,0.96,7.79,Highly Effective
812,pretentious,10381,0.088,3.8,133672,3117781,0.99,7.79,Highly Effective
941,southern theme,10381,0.065,3.8,129867,1193362,0.93,7.79,Highly Effective
965,star wars,10381,0.013,3.8,103654,515201,1.05,7.79,Highly Effective
16,aardman studios,10381,0.054,3.8,108446,705362,0.94,7.79,Highly Effective
582,journalism,10381,0.082,3.8,127968,1798206,0.92,7.79,Highly Effective
343,educational,10381,0.056,3.8,131134,1442328,0.92,7.79,Highly Effective
1039,trains,10381,0.029,3.79,96172,335960,0.95,7.5,Effective
840,realistic,10381,0.182,3.79,138489,11494704,0.94,7.5,Effective
471,great soundtrack,10381,0.153,3.79,138489,11133426,0.95,7.5,Effective
8,1970s,10381,0.16,3.79,138491,11031222,0.95,7.5,Effective
873,samurai,10381,0.03,3.79,72714,408926,0.96,7.5,Effective
675,movielens top pick,10381,0.227,3.79,138490,13057624,0.94,7.5,Effective
160,brainwashing,10381,0.142,3.79,138474,8457373,0.97,7.5,Effective
737,oil,10381,0.081,3.79,132438,2443115,0.95,7.5,Effective
800,politics,10381,0.13,3.79,138152,4616347,0.95,7.5,Effective
872,sad but good,10381,0.112,3.79,138469,7853721,0.95,7.5,Effective
57,amnesia,10381,0.03,3.79,120194,859861,0.93,7.5,Effective
50,alternate endings,10381,0.129,3.79,138442,7331673,0.96,7.5,Effective
331,drugs,10381,0.111,3.79,135745,4030926,0.95,7.5,Effective
974,strange,10381,0.105,3.79,137222,4419610,1,7.5,Effective
247,con artists,10381,0.054,3.79,127452,1637941,0.91,7.5,Effective
315,documentary,10381,0.08,3.79,105354,668486,0.96,7.5,Effective
362,ethnic conflict,10381,0.175,3.79,138342,8249439,0.97,7.5,Effective
373,fake documentary,10381,0.043,3.79,99486,335413,1.04,7.5,Effective
831,rabbits,10381,0.039,3.79,126728,1097702,0.99,7.5,Effective
291,deadpan,10381,0.046,3.79,117060,1586708,0.96,7.5,Effective
229,colourful,10381,0.149,3.79,138473,8512387,0.98,7.5,Effective
235,coming of age,10381,0.174,3.79,138485,8614430,0.95,7.5,Effective
164,british,10381,0.191,3.79,138492,12071571,0.95,7.5,Effective
110,based on a true story,10381,0.106,3.79,137550,3573384,0.93,7.5,Effective
1045,tricky,10381,0.123,3.79,138435,6696126,0.95,7.5,Effective
475,gritty,10381,0.186,3.78,138450,10032935,0.96,7.22,Effective
273,cuba,10381,0.027,3.78,95568,298686,0.96,7.22,Effective
550,intellectual,10381,0.171,3.78,138458,9120355,0.97,7.22,Effective
768,parenthood,10381,0.134,3.78,138480,7668275,0.97,7.22,Effective
757,oscar (best sound),10381,0.039,3.78,135980,2859254,0.97,7.22,Effective
539,incest,10381,0.042,3.78,109872,690499,1,7.22,Effective
713,non-hollywood ending,10381,0.039,3.78,114374,986718,0.93,7.22,Effective
916,short,10381,0.036,3.88,65709,216251,0.96,10.05,Highly Effective
639,meditative,10381,0.141,3.88,135907,4045378,0.96,10.05,Highly Effective
814,prison escape,10381,0.095,3.88,137787,4313618,0.91,10.05,Highly Effective
134,biography,10381,0.078,3.88,133171,2607075,0.9,10.05,Highly Effective
930,slow paced,10381,0.092,3.88,137350,4775763,0.93,10.05,Highly Effective
1009,tarantino,10381,0.014,3.88,102878,501673,0.97,10.05,Highly Effective
438,gilliam,10381,0.034,3.88,113996,1033620,0.94,10.05,Highly Effective
511,hitchcock,10381,0.047,3.88,119852,956830,0.92,10.05,Highly Effective
137,biting,10381,0.108,3.88,136420,5265578,0.94,10.05,Highly Effective
509,history,10381,0.085,3.88,137809,3876264,0.94,10.05,Highly Effective
224,coen bros,10381,0.06,3.88,129199,1983932,0.95,10.05,Highly Effective
1098,wartime,10381,0.123,3.88,136476,3241828,0.93,10.05,Highly Effective
499,heroin,10381,0.037,3.88,114919,684077,0.94,10.05,Highly Effective
127,best war films,10381,0.059,3.88,128301,1468481,0.95,10.05,Highly Effective
655,mission from god,10381,0.077,3.88,137303,3219777,0.94,10.05,Highly Effective
817,prohibition,10381,0.033,3.88,79806,303951,0.9,10.05,Highly Effective
1126,wwii,10381,0.045,3.88,120331,998335,0.95,10.05,Highly Effective
80,artsy,10381,0.081,3.88,135071,3309833,0.96,10.05,Highly Effective
385,father-son relationship,10381,0.053,3.87,136905,3203297,0.93,9.77,Highly Effective
986,suicide attempt,10381,0.097,3.87,137191,3993337,0.92,9.77,Highly Effective
760,oscar (best writing - screenplay written directly for the screen),10381,0.139,3.87,138455,9560955,0.93,9.77,Highly Effective
36,aging,10381,0.096,3.87,138208,4877638,0.93,9.77,Highly Effective
741,organized crime,10381,0.081,3.87,136720,3639541,0.92,9.77,Highly Effective
929,slow,10381,0.117,3.87,137866,6158283,0.94,9.77,Highly Effective
605,literary adaptation,10381,0.071,3.87,136452,2505971,0.95,9.77,Highly Effective
135,biopic,10381,0.096,3.87,137105,3512141,0.91,9.77,Highly Effective
149,bollywood,10381,0.107,3.87,135933,3570598,0.94,9.77,Highly Effective
781,photographer,10381,0.049,3.87,79117,375094,0.94,9.77,Highly Effective
7,1960s,10381,0.061,3.87,134101,1928280,0.92,9.77,Highly Effective
1002,swedish,10381,0.012,3.87,22474,55725,0.92,9.77,Highly Effective
1048,truman capote,10381,0.033,3.87,41381,77049,0.94,9.77,Highly Effective
546,innocence lost,10381,0.078,3.87,128973,2252482,0.94,9.77,Highly Effective
55,amazing photography,10381,0.158,3.87,138466,9121742,0.93,9.77,Highly Effective
248,con men,10381,0.05,3.87,134200,1948649,0.91,9.77,Highly Effective
470,great music,10381,0.095,3.87,138424,6667239,0.94,9.77,Highly Effective
496,heartbreaking,10381,0.122,3.87,138304,5508288,0.92,9.77,Highly Effective
698,neil gaiman,10381,0.013,3.87,35605,89802,0.93,9.77,Highly Effective
68,anti-semitism,10381,0.047,3.87,116122,815500,0.93,9.77,Highly Effective
644,mental hospital,10381,0.033,3.86,111955,477723,0.94,9.49,Highly Effective
467,great dialogue,10381,0.11,3.86,138446,8474622,0.93,9.49,Highly Effective
569,isolation,10381,0.067,3.86,132614,2355065,0.95,9.49,Highly Effective
899,self discovery,10381,0.136,3.86,138476,9564519,0.92,9.49,Highly Effective
1120,world war i,10381,0.044,3.86,119837,945145,0.95,9.49,Highly Effective
1097,war movie,10381,0.065,3.86,134372,1810594,0.97,9.49,Highly Effective
391,fighting the system,10381,0.145,3.86,138453,9456295,0.92,9.49,Highly Effective
798,political,10381,0.123,3.86,138142,5102844,0.92,9.49,Highly Effective
238,compassionate,10381,0.127,3.86,138418,6409443,0.93,9.49,Highly Effective
202,child abuse,10381,0.035,3.86,112510,679440,0.92,9.49,Highly Effective
225,coen brothers,10381,0.015,3.86,71951,234638,0.94,9.49,Highly Effective
410,freedom,10381,0.086,3.86,138085,4531206,0.94,9.49,Highly Effective
120,beautiful,10381,0.133,3.86,138412,7247555,0.95,9.49,Highly Effective
674,movie business,10381,0.044,3.86,110717,712035,0.93,9.49,Highly Effective
676,moving,10381,0.046,3.86,136210,2215385,0.93,9.49,Highly Effective
666,moody,10381,0.101,3.86,136385,3906192,0.93,9.49,Highly Effective
33,afi 100 (movie quotes),10381,0.116,3.86,138415,7760545,0.94,9.49,Highly Effective
715,nonlinear,10381,0.121,3.86,137653,5998597,0.95,9.49,Highly Effective
835,racism,10381,0.07,3.86,132577,1884039,0.93,9.49,Highly Effective
820,psychedelic,10381,0.042,3.86,129860,1504800,1,9.49,Highly Effective
758,oscar (best supporting actor),10381,0.138,3.86,138447,8718563,0.92,9.49,Highly Effective
282,cynical,10381,0.149,3.86,138276,7635501,0.94,9.49,Highly Effective
340,east germany,10381,0.011,3.85,37183,66019,0.9,9.2,Highly Effective
1083,vigilantism,10381,0.084,3.85,137036,3898406,0.95,9.2,Highly Effective
466,great cinematography,10381,0.135,3.85,138479,9321363,0.94,9.2,Highly Effective
487,hallucinatory,10381,0.06,3.85,126803,1656892,0.99,9.2,Highly Effective
843,rebellion,10381,0.106,3.85,138207,6091577,0.94,9.2,Highly Effective
161,brazil,10381,0.023,3.85,68171,141954,0.98,9.2,Highly Effective
73,arms dealer,10381,0.065,3.44,133175,2795582,1,-2.43,Moderate
807,predictable,10381,0.348,3.44,138493,16546309,1.05,-2.43,Moderate
207,chris tucker,10381,0.016,3.44,62079,162755,0.99,-2.43,Moderate
956,splatter,10381,0.198,3.44,138424,7302889,1.11,-2.43,Moderate
584,jungle,10381,0.075,3.44,137446,3471207,1.06,-2.43,Moderate
723,nuclear bomb,10381,0.028,3.44,113859,718300,1.01,-2.43,Moderate
494,haunted house,10381,0.039,3.44,102619,738234,1.09,-2.43,Moderate
738,olympics,10381,0.014,3.44,35657,84031,1,-2.43,Moderate
632,marvel,10381,0.024,3.43,99754,576863,1.01,-2.71,Moderate
210,christmas,10381,0.018,3.43,89553,344711,1.07,-2.71,Moderate
397,fish,10381,0.04,3.43,121939,843487,1.05,-2.71,Moderate
142,blaxploitation,10381,0.028,3.43,60288,193637,1.03,-2.71,Moderate
1128,zombies,10381,0.03,3.43,49413,193968,1.08,-2.71,Moderate
716,nostalgia,10381,0.048,3.43,134882,2036661,1.09,-2.71,Moderate
484,hackers,10381,0.032,3.43,117729,711780,1.02,-2.71,Moderate
1086,virginity,10381,0.065,3.43,122060,1297545,1.07,-2.71,Moderate
1076,video games,10381,0.027,3.43,87432,351791,1.1,-2.71,Moderate
1116,women,10381,0.212,3.42,138491,9419698,1.06,-2.99,Moderate
966,steampunk,10381,0.059,3.42,122113,1305545,1.07,-2.99,Moderate
1007,talking animals,10381,0.071,3.42,127734,1647947,1.08,-2.99,Moderate
59,android(s)/cyborg(s),10381,0.107,3.42,137491,4041312,1.09,-2.99,Moderate
429,genetics,10381,0.048,3.41,131078,1804735,1.05,-3.28,Moderate
1004,switching places,10381,0.077,3.41,136903,3129396,1.02,-3.28,Moderate
92,aviation,10381,0.024,3.41,109660,502563,1.02,-3.28,Moderate
896,secret service,10381,0.08,3.41,136455,3300994,0.99,-3.28,Moderate
620,mad scientist,10381,0.176,3.41,138492,8808863,1.08,-3.28,Moderate
1094,voodoo,10381,0.026,3.41,52827,154552,1.05,-3.28,Moderate
681,muppets,10381,0.047,3.41,99835,430463,1.13,-3.28,Moderate
1013,teen,10381,0.181,3.41,138471,7636992,1.09,-3.28,Moderate
444,golf,10381,0.03,3.41,103060,545228,1.05,-3.28,Moderate
307,disappointing,10381,0.044,3.41,93779,1570577,1.05,-3.28,Moderate
980,stupidity,10381,0.13,3.41,138371,6402169,1.12,-3.28,Moderate
316,dog,10381,0.062,3.41,130295,1466640,1.05,-3.28,Moderate
959,sports,10381,0.062,3.4,123597,1108411,1.06,-3.56,Moderate
279,cute!,10381,0.096,3.4,137181,3627594,1.06,-3.56,Moderate
132,big budget,10381,0.213,3.4,138486,12437620,1.07,-3.56,Moderate
13,80s,10381,0.159,3.4,138447,7302889,1.08,-3.56,Moderate
989,superhero,10381,0.073,3.4,132894,2309373,1.08,-3.56,Moderate
1,007,10381,0.046,3.4,113791,725385,1,-3.56,Moderate
933,so bad it's funny,10381,0.294,3.4,138493,14304438,1.07,-3.56,Moderate
810,prequel,10381,0.024,3.4,122815,1038822,1.12,-3.56,Moderate
694,natural disaster,10381,0.23,3.4,138493,13784933,1.07,-3.56,Moderate
114,based on comic,10381,0.029,3.4,115481,913506,1.04,-3.56,Moderate
232,comic book,10381,0.054,3.4,129734,1870189,1.07,-3.56,Moderate
734,ocean,10381,0.045,3.39,125972,970768,1.04,-3.84,Moderate
435,ghosts,10381,0.059,3.39,112783,1032502,1.07,-3.84,Moderate
507,hip hop,10381,0.091,3.39,119098,1361720,1.11,-3.84,Moderate
678,mtv,10381,0.018,3.39,82389,329189,1.09,-3.84,Moderate
919,silly,10381,0.222,3.39,138488,12313459,1.07,-3.84,Moderate
983,submarine,10381,0.042,3.39,112533,613067,1.03,-3.84,Moderate
97,bad acting,10381,0.177,3.39,138472,8518151,1.1,-3.84,Moderate
915,shopping,10381,0.079,3.39,136782,3068557,1.03,-3.84,Moderate
377,fantasy,10381,0.189,3.39,138493,10485835,1.09,-3.84,Moderate
117,batman,10381,0.008,3.38,69774,152788,1.05,-4.13,Moderate
573,james bond,10381,0.008,3.38,72573,225048,0.97,-4.13,Moderate
709,no plot,10381,0.114,3.38,138348,5644825,1.06,-4.13,Moderate
887,sci-fi,10381,0.115,3.38,137354,3965761,1.11,-4.13,Moderate
290,dc comics,10381,0.023,3.38,98874,537057,1.04,-4.13,Moderate
197,cheerleading,10381,0.058,3.37,111864,1014035,1.1,-4.41,Moderate
89,author:alan moore,10381,0.03,3.36,71531,295714,1.04,-4.7,Moderate
770,parody,10381,0.111,3.36,137258,4147350,1.12,-4.7,Moderate
792,pointless,10381,0.236,3.36,138481,9764444,1.11,-4.7,Moderate
304,dinosaurs,10381,0.064,3.36,136721,2904613,1.13,-4.7,Moderate
988,super-hero,10381,0.052,3.36,129465,1872930,1.11,-4.7,Moderate
973,stranded,10381,0.051,3.36,134322,1896623,1.07,-4.7,Moderate
920,silly fun,10381,0.232,3.35,138486,11667986,1.08,-4.98,Moderate
39,airport,10381,0.025,3.35,103991,474735,1.03,-4.98,Moderate
901,sequel,10381,0.089,3.35,137532,4266127,1.1,-4.98,Moderate
1088,virus,10381,0.042,3.35,120886,960374,1.07,-4.98,Moderate
906,sex comedy,10381,0.038,3.35,84280,444400,1.06,-4.98,Moderate
958,spoof,10381,0.069,3.35,134355,2313510,1.11,-4.98,Moderate
176,camp,10381,0.161,3.35,138464,6288683,1.12,-4.98,Moderate
66,antarctica,10381,0.042,3.35,104005,485363,1.04,-4.98,Moderate
595,las vegas,10381,0.052,3.34,120379,794050,1.06,-5.26,Moderate
842,reality tv,10381,0.087,3.34,135715,2119888,1.1,-5.26,Moderate
631,martial arts,10381,0.043,3.34,102286,741279,1.11,-5.26,Moderate
74,arnold,10381,0.014,3.34,96389,418932,1.07,-5.26,Moderate
559,iran,10381,0.015,3.71,29020,55407,0.93,5.23,Effective
65,anime,10381,0.035,3.71,74688,380291,1.01,5.23,Effective
627,manipulation,10381,0.19,3.71,138493,12254120,0.98,5.23,Effective
1024,thought-provoking,10381,0.21,3.71,138492,12916034,0.98,5.23,Effective
608,london,10381,0.137,3.71,138033,4911341,0.96,5.23,Effective
383,father daughter relationship,10381,0.098,3.71,133667,2096025,0.94,5.23,Effective
524,hospital,10381,0.195,3.71,138490,11103916,0.98,5.23,Effective
1049,twist,10381,0.167,3.71,138441,8480103,0.99,5.23,Effective
638,medieval,10381,0.049,3.71,135096,2123612,1.01,5.23,Effective
394,finnish,10381,0.095,3.71,108115,908365,0.99,5.23,Effective
81,assassin,10381,0.106,3.71,138006,4903846,0.97,5.23,Effective
42,alcoholism,10381,0.047,3.71,92002,454400,0.94,5.23,Effective
772,penguins,10381,0.027,3.71,55970,184445,0.95,5.23,Effective
286,dark comedy,10381,0.142,3.71,138097,6093836,1.01,5.23,Effective
180,cannibalism,10381,0.041,3.71,99478,549317,1.04,5.23,Effective
931,small town,10381,0.19,3.71,138489,9788722,0.97,5.23,Effective
175,california,10381,0.186,3.71,138493,12606162,0.97,5.23,Effective
1052,undercover cop,10381,0.062,3.71,130827,1790261,0.97,5.23,Effective
348,emotional,10381,0.216,3.71,138493,11386281,0.99,5.23,Effective
1025,thriller,10381,0.187,3.71,138493,11971323,0.97,5.23,Effective
375,family bonds,10381,0.087,3.71,137361,2920030,0.97,5.23,Effective
670,mother daughter relationship,10381,0.041,3.71,97609,407464,0.97,5.23,Effective
215,classic,10381,0.195,3.71,138493,12426056,0.99,5.23,Effective
353,enormously long battle scene,10381,0.108,3.71,138486,9396631,0.97,5.23,Effective
532,identity,10381,0.175,3.71,138493,11837089,0.98,5.23,Effective
740,opera,10381,0.024,3.71,49903,128457,1.02,5.23,Effective
311,distopia,10381,0.192,3.71,138492,12284194,0.99,5.23,Effective
650,midlife crisis,10381,0.037,3.7,118147,665630,0.98,4.95,Effective
970,stop-motion,10381,0.029,3.7,117599,743160,0.99,4.95,Effective
1089,visceral,10381,0.218,3.7,138479,11997201,1,4.95,Effective
75,art,10381,0.217,3.7,138493,12660437,1,4.95,Effective
1046,trilogy,10381,0.089,3.7,138315,5654368,1.02,4.95,Effective
730,nudity (topless - brief),10381,0.145,3.7,138104,7333035,0.99,4.95,Effective
735,off-beat comedy,10381,0.162,3.7,137981,6324323,1.02,4.95,Effective
1038,train,10381,0.024,3.7,110749,500273,0.96,4.95,Effective
178,canada,10381,0.052,3.7,91212,482162,0.95,4.95,Effective
85,atheism,10381,0.12,3.7,138371,4929381,0.99,4.95,Effective
370,factual,10381,0.11,3.7,138093,3869938,0.98,4.95,Effective
1035,touching,10381,0.199,3.7,138493,11366531,0.98,4.95,Effective
440,glbt,10381,0.069,3.7,109530,908861,0.97,4.95,Effective
837,rags to riches,10381,0.067,3.7,137156,2672629,0.98,4.95,Effective
298,desert,10381,0.094,3.7,138332,5413313,1.01,4.95,Effective
196,cheating,10381,0.106,3.7,137878,4401844,0.96,4.95,Effective
500,heroine,10381,0.041,3.7,123630,1022374,0.99,4.95,Effective
153,book was better,10381,0.094,3.69,138136,3456324,1,4.67,Effective
654,minnesota,10381,0.039,3.69,87849,322385,1.01,4.67,Effective
1047,true story,10381,0.133,3.69,138147,3896210,0.98,4.67,Effective
939,south africa,10381,0.019,3.69,52791,135350,0.92,4.67,Effective
338,earnest,10381,0.213,3.69,138493,15363464,0.98,4.67,Effective
1026,time,10381,0.09,3.69,138461,7234637,1.01,4.67,Effective
1114,witty,10381,0.241,3.69,138493,15372218,0.98,4.67,Effective
357,environment,10381,0.056,3.69,132625,1692767,0.99,4.67,Effective
269,crime gone awry,10381,0.238,3.69,138492,12865758,1,4.67,Effective
504,highly quotable,10381,0.2,3.69,138493,13242775,1,4.67,Effective
426,gay character,10381,0.158,3.69,138439,6606904,0.98,4.67,Effective
832,race,10381,0.107,3.69,138460,6677648,0.98,4.67,Effective
615,love triangles,10381,0.085,3.69,136649,2646300,0.99,4.67,Effective
136,birds,10381,0.028,3.69,86489,412964,0.99,4.67,Effective
945,space travel,10381,0.066,3.69,137442,3343986,1.02,4.67,Effective
961,spying,10381,0.147,3.69,138490,9242402,0.99,4.67,Effective
748,oscar (best animated feature),10381,0.051,3.69,116912,986333,0.96,4.67,Effective
1118,workplace,10381,0.119,3.69,137338,3915798,0.99,4.67,Effective
478,guilt,10381,0.211,3.69,138492,10030721,1.01,4.67,Effective
294,demons,10381,0.14,3.53,138106,4363048,1.07,0.13,Effective
726,nudity (full frontal - brief),10381,0.278,3.53,138493,19517111,1.05,0.13,Effective
971,story,10381,0.427,3.53,138493,19767960,1.05,0.13,Effective
1057,unfunny,10381,0.245,3.53,138493,19625006,1.05,0.13,Effective
22,adapted from:book,10381,0.325,3.53,138493,19566125,1.05,0.13,Effective
464,great,10381,0.427,3.53,138493,19784909,1.05,0.13,Effective
1071,very funny,10381,0.311,3.53,138493,19786880,1.05,0.13,Effective
797,police investigation,10381,0.311,3.53,138493,19710603,1.05,0.13,Effective
220,clever,10381,0.333,3.53,138493,19755384,1.05,0.13,Effective
445,good,10381,0.425,3.53,138493,19777278,1.05,0.13,Effective
972,storytelling,10381,0.448,3.53,138493,19799916,1.05,0.13,Effective
777,pg-13,10381,0.351,3.53,138493,19376884,1.05,0.13,Effective
277,culture clash,10381,0.391,3.53,138493,19795750,1.05,0.13,Effective
299,destiny,10381,0.376,3.53,138493,19634133,1.05,0.13,Effective
801,pornography,10381,0.381,3.53,138493,19766871,1.05,0.13,Effective
415,fun movie,10381,0.337,3.52,138493,18590551,1.05,-0.16,Effective
662,monkey,10381,0.028,3.52,111328,484643,1.07,-0.16,Effective
672,motorcycle,10381,0.068,3.52,136382,3265624,1.04,-0.16,Effective
1101,weapons,10381,0.262,3.52,138493,17087879,1.06,-0.16,Effective
485,hacking,10381,0.029,3.52,125367,1133380,1.02,-0.16,Effective
11,3d,10381,0.046,3.52,121348,988024,1.02,-0.16,Effective
811,president,10381,0.041,3.52,126706,1041630,1,-0.16,Effective
874,san francisco,10381,0.1,3.52,138236,4257242,1,-0.16,Effective
35,afterlife,10381,0.045,3.52,117694,797837,1.05,-0.16,Effective
276,cult film,10381,0.277,3.52,138493,16654946,1.07,-0.16,Effective
890,scifi,10381,0.145,3.52,138469,8175820,1.08,-0.16,Effective
1061,unlikeable characters,10381,0.103,3.52,136436,3331771,1.05,-0.16,Effective
1060,united nations,10381,0.015,3.52,63477,202817,1,-0.16,Effective
244,computer animation,10381,0.186,3.52,138493,12432928,1.06,-0.16,Effective
317,dogs,10381,0.027,3.52,95702,362735,1.07,-0.16,Effective
967,stereotypes,10381,0.258,3.52,138493,16461659,1.05,-0.16,Effective
424,gangsters,10381,0.256,3.52,138493,15358233,1.06,-0.16,Effective
703,new orleans,10381,0.092,3.52,118501,862136,0.96,-0.16,Effective
829,quirky,10381,0.291,3.52,138493,18362714,1.05,-0.16,Effective
1087,virtual reality,10381,0.035,3.52,130470,1483124,1.06,-0.16,Effective
490,happy ending,10381,0.264,3.52,138493,17375568,1.05,-0.16,Effective
231,comic,10381,0.117,3.52,138399,6228860,1.05,-0.16,Effective
685,music business,10381,0.043,3.52,82140,374442,1.05,-0.16,Effective
502,high fantasy,10381,0.103,3.52,138091,4089342,1.06,-0.16,Effective
389,fight scenes,10381,0.3,3.52,138493,19416178,1.05,-0.16,Effective
568,island,10381,0.131,3.52,138485,8651885,1.04,-0.16,Effective
379,farce,10381,0.137,3.52,138102,4637043,1.08,-0.16,Effective
230,comedy,10381,0.251,3.52,138493,10387680,1.06,-0.16,Effective
61,animal movie,10381,0.062,3.52,128598,1595952,1.04,-0.16,Effective
942,space,10381,0.068,3.52,136610,2991200,1.07,-0.16,Effective
174,c.s. lewis,10381,0.019,3.51,56784,119334,1.01,-0.44,Effective
185,cars,10381,0.077,3.51,134604,1884734,1.01,-0.44,Effective
705,new york city,10381,0.112,3.51,137630,3047030,1.03,-0.44,Effective
955,spies,10381,0.074,3.51,135213,2303084,0.99,-0.44,Effective
339,easily confused with other movie(s) (title),10381,0.05,3.51,54313,129639,1.01,-0.44,Effective
680,mummy,10381,0.017,3.51,84739,261132,1.07,-0.44,Effective
124,beer,10381,0.057,3.51,131684,1885740,1.06,-0.44,Effective
118,bdsm,10381,0.087,3.51,127321,1270629,1.06,-0.44,Effective
400,football,10381,0.017,3.51,100064,365910,1.04,-0.44,Effective
1123,writers,10381,0.25,3.51,138493,15254005,1.06,-0.44,Effective
1032,too long,10381,0.121,3.51,138259,3898526,1.11,-0.44,Effective
272,crude humor,10381,0.237,3.51,138493,18670060,1.05,-0.44,Effective
183,car chase,10381,0.114,3.51,137948,4628218,1.03,-0.44,Effective
64,animation,10381,0.082,3.51,127580,1580047,1.06,-0.44,Effective
280,cyberpunk,10381,0.043,3.51,130113,1723139,1.08,-0.44,Effective
895,script,10381,0.128,3.51,138484,9772194,1.04,-0.44,Effective
630,mars,10381,0.071,3.51,136809,2765129,1.06,-0.44,Effective
156,boring!,10381,0.105,3.51,137153,3917453,1.11,-0.44,Effective
732,nudity (topless),10381,0.165,3.51,137270,5227020,1.08,-0.44,Effective
374,family,10381,0.311,3.5,138493,17355973,1.05,-0.72,Effective
1063,unrealistic,10381,0.084,3.5,137873,4658980,1.04,-0.72,Effective
455,goofy,10381,0.228,3.5,138493,13325520,1.07,-0.72,Effective
88,australian,10381,0.024,3.5,67973,203751,1.04,-0.72,Effective
447,good action,10381,0.247,3.5,138493,16105137,1.06,-0.72,Effective
40,alaska,10381,0.016,3.5,37935,86224,0.95,-0.72,Effective
586,kick-butt women,10381,0.099,3.5,131879,1787236,1.07,-0.72,Effective
914,shark,10381,0.032,3.5,113293,674526,1.06,-0.72,Effective
885,school,10381,0.129,3.5,136219,4024526,1.05,-0.72,Effective
589,kids and family,10381,0.117,3.65,138340,5380588,1.03,3.53,Effective
815,private detective,10381,0.025,3.65,106183,525357,1.05,3.53,Effective
876,sarcasm,10381,0.113,3.65,138391,5799240,1.03,3.53,Effective
287,dark fantasy,10381,0.1,3.65,136812,3314129,1.02,3.53,Effective
446,good acting,10381,0.267,3.65,138493,16889818,0.99,3.53,Effective
1115,wizards,10381,0.051,3.65,132573,1825988,1.03,3.53,Effective
324,dramatic,10381,0.299,3.65,138493,16194545,0.99,3.53,Effective
130,better than the american version,10381,0.038,3.65,82160,304222,1.04,3.53,Effective
364,excellent,10381,0.22,3.65,138493,16510330,0.99,3.53,Effective
859,robert ludlum,10381,0.015,3.65,77401,192178,0.86,3.53,Effective
651,military,10381,0.05,3.64,133427,1808613,1,3.25,Effective
925,slackers,10381,0.038,3.64,117690,997915,1.01,3.25,Effective
870,sacrifice,10381,0.235,3.64,138493,15348624,1,3.25,Effective
1053,underdog,10381,0.131,3.64,138485,9301840,1,3.25,Effective
626,man versus machine,10381,0.035,3.64,131275,1781651,1.03,3.25,Effective
14,9/11,10381,0.016,3.64,45018,142420,0.94,3.25,Effective
629,marriage,10381,0.124,3.64,137838,4198394,1,3.25,Effective
921,simple,10381,0.145,3.64,138493,11270852,1.02,3.25,Effective
938,sophia coppola,10381,0.02,3.64,30066,58977,0.96,3.25,Effective
894,screwball comedy,10381,0.061,3.64,127165,1389595,1.02,3.25,Effective
412,friendship,10381,0.251,3.64,138493,14524693,1.02,3.25,Effective
86,atmospheric,10381,0.27,3.64,138493,16470253,1.01,3.25,Effective
803,post-apocalyptic,10381,0.06,3.64,135957,2891839,1.04,3.25,Effective
190,catholicism,10381,0.062,3.63,103395,591336,1.01,2.96,Effective
159,boxing,10381,0.034,3.63,60012,221132,1.02,2.96,Effective
505,hilarious,10381,0.155,3.63,138489,8464589,1.04,2.96,Effective
598,lawyers,10381,0.07,3.63,135586,2519724,0.94,2.96,Effective
1050,twist ending,10381,0.188,3.63,138484,9690559,1.05,2.96,Effective
26,adolescence,10381,0.137,3.63,137114,3969468,1.01,2.96,Effective
776,pg,10381,0.07,3.63,137471,3471212,1,2.96,Effective
964,star trek,10381,0.013,3.63,98093,425065,1.07,2.96,Effective
875,sappy,10381,0.06,3.63,137887,3695857,1,2.96,Effective
877,satire,10381,0.15,3.63,138346,6398819,1.05,2.96,Effective
570,israel,10381,0.045,3.63,94401,448026,1.04,2.96,Effective
759,oscar (best supporting actress),10381,0.263,3.63,138493,16781357,1.01,2.96,Effective
561,iraq war,10381,0.014,3.63,61778,176944,0.93,2.96,Effective
704,new york,10381,0.096,3.63,137215,2972633,0.99,2.96,Effective
